_id,created_at,favorite_count,geo,id,place,retweet_count,source,text
5d8d0a351203fc9d25baae19,Wed Sep 25 16:17:16 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IntelGaming: The best @RocketLeague players will go head to head for the whole world to see, starting with The Intel World Open leading…"
5d8d0a351203fc9d25baae1a,Wed Sep 25 14:28:18 +0000 2019,0,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @btvesports: 🏆 L'equip Special Olympics Catalunya (@SOCatalunya ) s'ha proclamat campió de la 10a edició del Trofeu Internacional de fut…
5d8d0a351203fc9d25baae1b,Wed Sep 25 12:25:16 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IntelGaming: The best @StreetFighter players will go head to head for the whole world to see, starting with The Intel World Open leadin…"
5d8d0a351203fc9d25baae1c,Wed Sep 25 12:21:20 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IntelGaming: The best @RocketLeague players will go head to head for the whole world to see, starting with The Intel World Open leading…"
5d8d0a351203fc9d25baae1d,Wed Sep 25 07:37:33 +0000 2019,0,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://t.co/wBIbIBMLkc
5d8d0a351203fc9d25baae1e,Tue Sep 24 22:46:11 +0000 2019,0,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The team-up of The International Olympic Committee and Intel, a worldwide sponsor, announced the Intel World Open,… https://t.co/lGLoctu9H2"
5d8d0a351203fc9d25baae1f,Tue Sep 24 21:41:31 +0000 2019,0,,1.18E+18,"{ ""id"" : ""016ee40b5590c45a"", ""url"" : ""https://api.twitter.com/1.1/geo/id/016ee40b5590c45a.json"", ""place_type"" : ""city"", ""name"" : ""Hamden"", ""full_name"" : ""Hamden, CT"", ""country_code"" : ""US"", ""country"" : ""United States"", ""bounding_box"" : { ""type"" : ""Polygon"", ""coordinates"" : [ [ [ -72.968693, 41.327184 ], [ -72.968693, 41.459756 ], [ -72.87314, 41.459756 ], [ -72.87314, 41.327184 ] ] ] }, ""attributes"" : {  } }",0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@BrendanHickey1 ESports has no place in The Olympics, get outside and get some fresh air! I’ve been a gamer for 45… https://t.co/YsbFytVlMV"
5d8d0a351203fc9d25baae20,Tue Sep 24 21:25:40 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @t4_research: The ancient Greeks certainly didn’t plan for this. @intel has announced the Intel World Open, a $500k @StreetFighter V and…"
5d8d0a351203fc9d25baae21,Tue Sep 24 21:12:00 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @IntelGaming: We are excited to bring the Intel World Open esports tournament to Japan where we will crown the champions of @RocketLeagu…
5d8d0a351203fc9d25baae22,Tue Sep 24 17:05:18 +0000 2019,0,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Stoked for #esports in the @Olympics !! https://t.co/2Grabsnf4S
5d8d0a351203fc9d25baae23,Tue Sep 24 16:51:16 +0000 2019,0,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","eSports is still in talks to be in the Olympics.
I'm still looking for great Bahamian players to join me.
#Fortnite… https://t.co/7XX9wc2WBd"
5d8d0a351203fc9d25baae24,Tue Sep 24 14:42:15 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @t4_research: The ancient Greeks certainly didn’t plan for this. @intel has announced the Intel World Open, a $500k @StreetFighter V and…"
5d8d0a351203fc9d25baae25,Tue Sep 24 14:41:22 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @t4_research: The ancient Greeks certainly didn’t plan for this. @intel has announced the Intel World Open, a $500k @StreetFighter V and…"
5d8d0a351203fc9d25baae26,Tue Sep 24 06:24:30 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @finder_esports: Track &amp; Field…&amp; Fortnite???

The esports scene is bigger than it ever has been with people beginning to question if it…"
5d8d0a351203fc9d25baae27,Tue Sep 24 06:09:31 +0000 2019,0,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ninja Says Video Games Will Be an Olympic Sport, 'It's a Matter of Time'

There's a ton of money in Esports ... and… https://t.co/YvXZUuCTxY"
5d8d0a351203fc9d25baae28,Tue Sep 24 02:25:01 +0000 2019,6,,1.18E+18,,3,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","The ancient Greeks certainly didn’t plan for this. @intel has announced the Intel World Open, a $500k… https://t.co/RAzJDOfyMB"
5d8d0a351203fc9d25baae29,Mon Sep 23 19:28:15 +0000 2019,1,,1.18E+18,,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A game effort, but I've sent along the #IsItASport decision matrix to help him out. . .  https://t.co/u1kSw4JpO4"
5d8d0a351203fc9d25baae2a,Mon Sep 23 18:07:22 +0000 2019,2,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","i love esports, but beeing part of the olympics ... i dont know about that https://t.co/JoEfMkmMNE"
