OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
['nan'],['nan'],['nan'],['nan'],"['already', 'long']",[],"['long', 'necessary', 'day', 'half', 'would', 'good', 'give', 'touch', 'important', 'topic', 'small', 'q', 'give', 'proper', 'campus', 'tour', 'session', 'multiple', 'session', 'story', 'time', 'guide', 'seem', 'several', 'session', 'reiterate', 'thing', 'extra', 'socialize', 'session', 'unnecessary', 'fun', 'option', 'stay', 'socialize', 'instead', 'force', 'u', 'socialize', 'need', 'keep', 'mind', 'social', 'anxiety', 'feel', 'unsettle', 'around', 'large', 'group', 'stranger', 'adult', 'kindergarten', 'know', 'make', 'friend', 'socialize', 'also', 'make', 'mandatory', 'student', 'stay', 'dorm', 'great', 'would', 'good', 'stay', 'dorm', 'room', 'fun', 'option', 'everyone', 'stay', 'campus', 'academic', 'year', 'make', 'option', 'stay', 'dorm', 'little', 'silly', 'humble', 'opinion', 'stay', 'dorm', 'overnight', 'would', 'seem', 'like', 'optional', 'like', 'fun', 'college', 'experience', 'deal', 'instead', 'mandate', 'deal', 'know', 'probably', 'wont', 'make', 'impact', 'anything', 'opinion', 'thank']"
['nan'],['nan'],['nan'],['nan'],"['spend', 'time', 'college', 'major', 'simulate', 'class', 'certain', 'college', 'show', 'around', 'build', 'really']","['enjoy', 'get', 'know', 'campus', 'connect', 'share', 'interest']",['nan']
['nan'],['nan'],['nan'],['nan'],"['tour', 'time']",['nan'],['nan']
"['make', 'sure', 'use', 'time', 'take', 'second', 'time', 'make', 'sure', 'plan', 'time', 'day', 'focus', 'take', 'test', 'rush']","['helpful', 'easy', 'talk', 'honest', 'help', 'find', 'schedule', 'would', 'help', 'give', 'time', 'complete', 'project', 'major', 'architecture']",['nan'],"['social', 'time', 'residence', 'hall', 'walk', 'around', 'make', 'talk', 'even', 'small', 'conversation', 'day', 'long', 'conversation', 'even', 'start', 'talk', 'people', 'especially', 'people', 'go', 'college', 'campus']",[],"['walk', 'around', 'campus', 'socialize', 'dinner']","['well', 'organize', 'informative', 'even', 'excite', 'go', 'kent', 'fall']"
['nan'],['nan'],['nan'],"['put', 'group', 'talk', 'student', 'college', 'uncomfortable', 'help', 'make', 'connection']",['nan'],"['meet', 'future', 'roommate']",['nan']
['nan'],['nan'],['nan'],"['specifically', 'honor', 'information', 'meet', 'could', 'time', 'meet', 'people', 'similar']",['nan'],['nan'],['nan']
['nan'],"['first', 'kind', 'bum', 'get', 'meet', 'fashion', 'advisor', 'meet', 'graduate', 'student', 'absolutely', 'incredible', 'learn', 'much', 'short', 'session', 'schedule']",['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],"['connection', 'student', 'similar', 'major', 'tent', 'time', 'desk', 'current', 'student', 'help', 'encourage', 'talk']","['financial', 'aid']","['freedom', 'hammer', 'go', 'time', 'able', 'disconnect', 'core', 'everything', 'go', 'thing', 'talk', 'people', 'associate', 'able', 'take', 'breather', 'moment', 'without', 'worry', 'get', 'kind', 'trouble', 'natural', 'make', 'feel', 'like', 'part', 'collage', 'rather']",['nan']
['nan'],"['pam', 'amaze', 'help', 'find', 'would', 'best', 'make', 'sure', 'wasnt', 'overwhelm', 'class', 'make', 'excite', 'start', 'class']",['nan'],"['find', 'student', 'similar', 'interest']",['nan'],"['get', 'know', 'peer', 'meet', 'share', 'common', 'interest', 'find', 'like', 'dislike', 'play', 'game', 'help', 'put', 'excite', 'fun']",['nan']
['nan'],['nan'],['nan'],"['think', 'would', 'helpful', 'divide', 'small', 'group', 'time', 'talk', 'maybe', 'lead', 'one', 'instance', 'get', 'minute', 'talk', 'small', 'group', 'long', 'think', 'meaningful', 'connection', 'could', 'make']","['think', 'would', 'helpful', 'time', 'set', 'aside', 'specifically', 'get', 'know', 'campus']",['nan'],['nan']
['nan'],['nan'],['nan'],"['opportunity', 'get', 'small', 'group']","['schedule', 'process', 'work', 'navigate', 'use', 'program', 'associate', 'schedule', 'class']",['nan'],['nan']
['nan'],['nan'],['nan'],"['find', 'people', 'similar', 'interest']",['nan'],['nan'],['nan']
"['material', 'never', 'see', 'high', 'school', 'class']",['nan'],['nan'],['nan'],"['navigate', 'campus']",['nan'],['nan']
['nan'],"['academic', 'advisor', 'really', 'good', 'encouragement', 'like', 'discourage', 'build', 'strength', 'major']",['nan'],"['similar', 'interest', 'life', 'music', 'movie', 'food']","['show', 'new', 'freshman', 'class', 'day']","['walk', 'downtown', 'activity', 'super', 'cool']",['nan']
['nan'],['nan'],['nan'],['nan'],[],"['schedule', 'class', 'pick', 'time', 'get']",['nan']
"['calculator', 'never', 'come']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people']",['nan']
"['offer', 'practice', 'require', 'take', 'test', 'take', 'math', 'th', 'th', 'th', 'grade', 'fresh', 'memory', 'offer', 'practice', 'well', 'placement', 'test', 'first', 'time', 'take']","['really', 'know', 'certain', 'class', 'read', 'course', 'description', 'still', 'confuse']",['nan'],['nan'],"['show', 'u', 'around']","['day', 'confession', 'bowman']","['feel', 'like', 'would', 'overall', 'much', 'good', 'one', 'day', 'thing', 'unnecessary', 'thing', 'cut']"
['nan'],"['felt', 'rush', 'make', 'schedule', 'time', 'think', 'want', 'class', 'set']",['nan'],['activity'],"['first', 'week', 'class']",['nan'],['nan']
"['test', 'good', 'paper', 'pencil', 'versus', 'personal', 'preference', 'feel', 'concentrate', 'focus', 'improve', 'score']","['lady', 'get', 'sweet', 'helpful', 'ever', 'could', 'good', 'enjoyable']",['nan'],"['small', 'group', 'activity']",['nan'],['nan'],['nan']
"['make', 'easy', 'see', 'test', 'use', 'placement', 'math', 'class']",['nan'],['nan'],['nan'],"['navigate', 'campus']","['experience', 'college']",['nan']
"['maybe', 'section', 'help', 'refresh', 'content']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
"['difficult', 'type', 'answer']",['nan'],['nan'],"['able', 'talk', 'freely', 'feel', 'judge', 'much']","['tour', 'around', 'campus']","['meet', 'new', 'people']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['favorite', 'part', 'go', 'college', 'meet', 'professor', 'student', 'involve']",['nan']
['nan'],['nan'],['nan'],"['time', 'spend', 'college']","['give', 'student', 'map']","['spend', 'time', 'college']",['nan']
['nan'],['nan'],['nan'],"['spend', 'much', 'time', 'dorm']",[],"['ability', 'go', 'everything', 'give', 'u', 'first', 'hand', 'experience', 'college', 'like']",['nan']
['nan'],['nan'],['nan'],"['student', 'time', 'begin', 'day']",[],"['meet', 'people']",['nan']
['nan'],['nan'],"['could', 'condense', 'one', 'day', 'make', 'convenient', 'parent', 'attend', 'student']",['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],"['another', 'student', 'major']","['resource', 'fair']","['advise', 'class', 'schedule']",['nan']
['nan'],['nan'],['nan'],['nan'],"['navigate', 'campus']","['schedule', 'go', 'bed', 'meet', 'people']",['nan']
['nan'],"['love', 'person', 'help', 'schedule', 'class', 'felt', 'honestly', 'care', 'well', 'never', 'rush', 'get', 'finish']",['nan'],"['put', 'lot', 'people', 'really', 'hard', 'wish', 'activity', 'would', 'push', 'people', 'get', 'comfortable', 'around', 'one', 'another']",['nan'],"['friend', 'make', 'create', 'schedule']",['nan']
['nan'],"['helpful', 'talk', 'future', 'year', 'schedule']",['nan'],"['social', 'talk', 'major']","['get', 'around', 'campus']","['stay', 'dorm']",['nan']
['nan'],['nan'],['nan'],['nan'],"['find', 'way', 'around', 'campus']",['nan'],['nan']
['nan'],['nan'],['nan'],"['social', 'time', 'specific', 'people', 'common', 'major']",['nan'],"['see', 'campus']",['nan']
['nan'],['nan'],['nan'],"['think', 'free', 'time', 'definitely', 'allow', 'make', 'connection', 'people']",['nan'],"['think', 'favorite', 'part', 'meet', 'advisor', 'little', 'nervous', 'expect', 'regard', 'class', 'everything', 'advisor', 'friendly', 'make', 'feel', 'really', 'comfortable']",['nan']
['nan'],['nan'],['nan'],['nan'],"['navigate', 'campus']",['nan'],['nan']
['nan'],['nan'],['nan'],"['opportunity', 'student', 'without', 'family', 'guest', 'divide', 'randomly', 'small', 'group', 'talk', 'upcoming', 'change', 'college', 'relate', 'issue', 'question', 'answer', 'talk', 'peer', 'environment', 'sort', 'force', 'interact', 'learn']","['provost', 'speech', 'repetitive', 'bore']","['food', 'good']",['nan']
['nan'],"['advise', 'appointment', 'wonderful', 'easy', 'see', 'option', 'advisor', 'pleasant', 'helpful']",['informative'],['nan'],['nan'],['eat'],['nan']
['nan'],['nan'],['nan'],['nan'],"['get', 'know', 'campus']","['favorite', 'part', 'experience', 'story']",['nan']
['nan'],['nan'],['nan'],"['exactly', 'sure', 'meet', 'people', 'major', 'think', 'sample', 'size', 'large', 'enough', 'come', 'conclusion', 'unfortunately']","['well', 'balance']","['get', 'know', 'campus', 'useful']","['overall', 'find', 'experience', 'positive', 'helpful']"
['nan'],['nan'],['nan'],['nan'],"['learn', 'student', 'involvement', 'like', 'club', 'intramural', 'sport', 'apply']","['end', 'first', 'day', 'get', 'new', 'friend', 'dance']","['great', 'fun', 'time', 'learn', 'much', 'excite', 'join', 'fall']"
['nan'],['nan'],['nan'],['talk'],['nan'],['food'],['nan']
"['language', 'question', 'number', 'like', 'math', 'one', 'never', 'know', 'language', 'assessment', 'go', 'end']",['nan'],"['prep', 'session', 'pretty', 'much', 'message', 'tell', 'feel', 'like', 'one', 'hour', 'long', 'session', 'would', 'enough', 'cover', 'information', 'necessary', 'meet', 'advisor']","['time', 'specific', 'college', 'meet', 'much', 'time', 'get', 'know', 'day', 'ice', 'breaker', 'help', 'people', 'connect', 'make', 'everyone', 'feel', 'force', 'participate', 'activity', 'everyone']","['please', 'add', 'anything', 'far', 'long', 'already', 'session', 'repetitive']","['enjoy', 'campus', 'tour', 'like', 'help', 'u', 'feel', 'comfortable', 'ask', 'flash', 'guide', 'question', 'big', 'group', 'nobody', 'want', 'ask', 'many', 'people']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['end', 'day', 'one', 'activity', 'meet', 'nice', 'people', 'play']",['nan']
"['need', 'update', 'student', 'act', 'sit', 'score', 'high', 'enough', 'exempt', 'need', 'score']",['nan'],['nan'],"['ice', 'breaker']",['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],"['one', 'u', 'randomly', 'walk', 'say', 'hello', 'find', 'similar', 'major']",['nan'],"['even', 'activity', 'enjoyable', 'give', 'choice']",['nan']
['nan'],['nan'],['nan'],"['meet', 'people']",['nan'],"['meet', 'begin', 'day', 'eat', 'lunch', 'able', 'connect', 'people']",['nan']
['nan'],"['good', 'experience', 'get', 'speak', 'someone', 'help', 'class', 'current', 'student', 'kind', 'frustrate', 'actually', 'little', 'say', 'class', 'know', 'somewhat', 'hand', 'advisor']",['nan'],"['ask', 'friend', 'introduce', 'end', 'make', 'good', 'amount', 'friend', 'happen', 'around', 'dinner', 'would', 'happen', 'periodically', 'may', 'able', 'make', 'friend']","['may', 'beneficial', 'include', 'campus', 'tour', 'college', 'outline', 'main', 'place', 'class', 'may', 'locate']","['food', 'honestly', 'really', 'good', 'also', 'always', 'hold', 'memory', 'line', 'dance', 'flash', 'guide']",['nan']
['nan'],['nan'],['nan'],"['time', 'mingle', 'early', 'day']",['navigation'],"['meet', 'new', 'friend', 'dorm']",['nan']
['nan'],"['maybe', 'student', 'meet', 'actual', 'adviser', 'schedule', 'class']","['give', 'every', 'one', 'water', 'bottle', 'really', 'hot', 'room']","['literally', 'run']",['think'],"['explore', 'downtown']",['nan']
['nan'],"['good', 'help', 'understand', 'schedule', 'class', 'need', 'take', 'get', 'degree', 'want']",['nan'],['nan'],"['tutor', 'service', 'financial', 'aid', 'office', 'scholarship', 'office']","['like', 'schedule', 'class', 'feel', 'well', 'confident', 'responsibility']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['favorite', 'part', 'flash', 'guide', 'story', 'help', 'realize', 'everybody', 'experience', 'nervousness', 'anxiousness', 'also', 'advise', 'part', 'schedule', 'class', 'part', 'love', 'content', 'schedule', 'flexible', 'helpful', 'student', 'flash', 'guide', 'advisor']",['nan']
['nan'],['nan'],['nan'],"['ice', 'breaker']",['nan'],"['din', 'hall']",['nan']
['nan'],['nan'],['nan'],['nan'],"['know', 'way', 'around', 'campus']","['able', 'explore', 'peer', 'town', 'like', 'normal', 'college', 'student']","['introduction', 'ceremony', 'drag', 'little', 'bite', 'important', 'information', 'look', 'around', 'crowd', 'could', 'see', 'student', 'phone', 'pay', 'attention', 'lose', 'interest']"
['nan'],['nan'],['nan'],"['people', 'will', 'activity', 'participate', 'fun', 'people', 'sit', 'sideline', 'judge']",[],"['get', 'schedule', 'even', 'though', 'extremely', 'stressful', 'overwhelm']",['nan']
[],"['really', 'like', 'learn', 'major', 'minor', 'could']","['wish', 'hear', 'experience']",['nan'],['nan'],"['get', 'hangout', 'new', 'friend', 'make', 'dorm']",['nan']
['use'],['great'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['time', 'student', 'get', 'spend', 'day', 'do', 'get', 'meet', 'new', 'people', 'think', 'could', 'help', 'anyone', 'nervous', 'meet', 'new', 'people']",['nan']
['nope'],"['nice', 'friendly', 'enjoy', 'talk']",['nan'],['nan'],['nan'],['nan'],['nan']
"['give', 'require', 'review', 'module', 'student', 'take', 'give', 'time', 'year', 'placement', 'exam', 'take', 'may', 'help', 'refresh', 'student', 'actually', 'prep', 'little', 'assessment']",['nan'],['nan'],"['time', 'make', 'connection', 'actual', 'activity', 'dinner']","['give', 'student', 'much', 'free', 'time', 'possible', 'talk', 'outgo', 'one', 'spark', 'may', 'shy']","['freedom', 'night', 'able', 'meet', 'everyone', 'thing']",['nan']
"['make', 'requirement', 'student', 'learn', 'module', 'prior', 'test', 'may', 'perform', 'best', 'ability']","['maybe', 'make', 'long']",['nan'],"['group', 'u', 'student', 'college', 'major', 'together', 'throughout', 'entire', 'event', 'room', 'together', 'overnight']",['commute'],"['academic', 'advisor']","['student', 'socially', 'confident', 'try', 'aware']"
[],['nan'],['nan'],"['nothing', 'make', 'connection', 'quickly']",['nan'],"['academic', 'advise', 'really', 'nice', 'set', 'trajectory', 'solid', 'grind', 'also', 'appreciate', 'parent', 'keep']",['nan']
['nan'],['nan'],['nan'],"['bring', 'minority', 'together', 'meet']","['add', 'social', 'life', 'like']","['party', 'karaoke', 'p']",['nan']
[],['nan'],['nan'],"['put', 'group', 'talk', 'stuff']",['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['icebreaker'],"['campus', 'tour']","['even', 'activity', 'get', 'connect', 'current', 'student']",['nan']
['nan'],"['advisor', 'get', 'along', 'really', 'well']","['additional', 'feedback']","['play', 'video', 'game', 'together', 'meet', 'person']","['learn', 'navigate', 'campus', 'class', 'look', 'special', 'area']","['get', 'together']","['backup', 'plan', 'weather']"
['nan'],['nan'],['nan'],['nan'],['nan'],"['favorite', 'part', 'get', 'meet', 'go', 'thing', 'go', 'right']",['nan']
['nan'],['nan'],['nan'],['group'],"['get', 'place', 'place']",['nan'],['nan']
[],['nan'],['nan'],['nan'],['nan'],['nan'],"['guide', 'need', 'much', 'enthusiasm', 'show', 'event']"
['nan'],['nan'],['nan'],"['ice', 'break', 'activity']",['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],['location'],['nan'],['nan']
['nan'],"['experience', 'academic', 'advise', 'great', 'please', 'schedule', 'look', 'forward', 'start', 'august']",[],['nan'],['nan'],['nan'],[]
"['make', 'student', 'aware', 'take']","['thorough', 'take', 'time', 'individually', 'beyond', 'please']",['nan'],['bond'],"['wall', 'around', 'campus']","['din', 'lecture', 'everything', 'go']",['nan']
['nan'],"['quick', 'easy']",['nan'],"['time', 'alone', 'rather', 'huge', 'group']","['little', 'specificity']","['free', 'time', 'give', 'time', 'people', 'meet', 'many', 'college', 'talk', 'would', 'break', 'college']",['nan']
['nan'],['nan'],['nan'],['nan'],"['think', 'topic', 'distribute', 'really', 'well', 'throughout']","['think', 'free', 'time', 'explore', 'spend', 'time', 'new', 'friend', 'really', 'awesome']",['nan']
['nan'],['nan'],"['get', 'talk', 'relate', 'flash', 'guide', 'really', 'help', 'feel', 'welcome', 'gold', 'team', 'welcome', 'supportive', 'make', 'point', 'befriend', 'student', 'answer', 'question']","['help', 'take', 'leap', 'faith', 'reach', 'well', 'group', 'group']","['navigation', 'around', 'campus']","['make', 'effort', 'make', 'u', 'feel', 'welcome', 'make', 'sure', 'fun', 'genuinely', 'care', 'really', 'help']","['believe', 'guide', 'really', 'make', 'long', 'student', 'arrive', 'part', 'participate', 'much', 'fun', 'positive', 'environment', 'establish']"
['nan'],['nan'],['nan'],['nan'],"['think', 'schedule', 'get', 'check', 'make', 'available', 'beforehand']","['split', 'individual', 'college', 'get', 'learn', 'college']",['nan']
['nan'],['nan'],['nan'],['nan'],"['focus', 'build', 'relationship', 'tell', 'student', 'need', 'know', 'lot', 'felt', 'like', 'know', 'information']","['love', 'meet', 'new', 'people', 'play', 'game', 'party', 'afterwards']",['nan']
"['go', 'smooth']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['felt', 'advise', 'appointment', 'personalize', 'suit', 'need', 'well', 'provide', 'information', 'regard', 'question', 'schedule', 'change', 'mind', 'major', 'felt', 'comfortable', 'schedule', 'class']",['nan'],"['consider', 'introvert', 'get', 'know', 'someone', 'well', 'connect', 'roommate', 'almost', 'instantly', 'able', 'feel', 'comfortable', 'talk', 'icebreaker', 'always', 'awkward', 'understand', 'awkward', 'everyone', 'help', 'ease', 'nerve', 'usually', 'make', 'connection', 'sure', 'specifically', 'would', 'help', 'best', 'activity', 'help', 'lot']","['would', 'like', 'go', 'campus', 'tour', 'little', 'depth', 'one', 'go', 'apply', 'kent', 'state', 'understand', 'tour', 'would', 'lot', 'grind', 'cover', 'would', 'therefore', 'take', 'lot', 'time', 'within', 'schedule', 'otherwise', 'really', 'think', 'anything', 'cover']","['really', 'enjoy', 'honor', 'college', 'welcome', 'felt', 'comfort', 'meet', 'fellow', 'classmate', 'able', 'connect', 'well', 'roommate', 'also', 'form', 'group', 'mutual', 'friend', 'comfort', 'know', 'would', 'able', 'see', 'student', 'fall', 'within', 'honor', 'college', 'also', 'enjoy', 'personalize', 'experience', 'academic', 'advise', 'schedule', 'girl', 'help', 'piece', 'together', 'schedule', 'fall', 'semester', 'helpful', 'make', 'sure', 'comfortable', 'place', 'class']","['really', 'enjoy', 'experience', 'make', 'feel', 'excite', 'begin', 'college', 'journey', 'complaint', 'gloomy', 'weather']"
['nan'],['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people', 'instantly', 'connect', 'make', 'feel', 'lot', 'welcome', 'kent', 'state']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people']",['nan']
"['detect', 'test', 'easy', 'think', 'easy', 'understand', 'find', 'negative', 'feedback']","['like', 'advisor', 'one', 'stop', 'helpful', 'hop', 'come', 'learn', 'loan', 'financial', 'aid']",['nan'],['nan'],"['help', 'u', 'navigate', 'whole', 'college', 'instead', 'major', 'would', 'helpful']","['enjoy', 'meet', 'new', 'student', 'experience']",['nan']
['nan'],['nan'],['nan'],['outgo'],['nan'],[],['nan']
['nan'],['nan'],['nan'],"['nothing', 'dumb', 'luck', 'saw', 'group', 'student', 'small']",['nan'],['nan'],['nan']
['nan'],"['advisor', 'great', 'help', 'everything']",['nan'],['nan'],['nan'],['nan'],['nan']
"['student', 'require', 'learn', 'module', 'prior', 'take', 'test', 'ensure', 'student', 'perform', 'best', 'ability']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],"['think', 'near', 'begin', 'break', 'different', 'college', 'sort', 'activity', 'pertain', 'college', 'break', 'small', 'group', 'maybe', 'around', 'would', 'help', 'people', 'communicate', 'make', 'connection', 'easy']",['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],"['find', 'way', 'around', 'campus']",['nan'],['nan']
"['would', 'recommend', 'inform', 'student', 'assessment', 'may', 'take', 'significant', 'amount', 'time', 'depend', 'prefer', 'pace', 'assessment', 'take', 'significantly', 'long', 'estimate', 'time', 'minute']","['much', 'like', 'academic', 'advisor', 'felt', 'tad', 'bite', 'rush', 'understandable', 'consider', 'sheer', 'size', 'student', 'attend', 'nonetheless', 'felt', 'like', 'entirely', 'inform', 'everything', 'question', 'though', 'still', 'felt', 'session', 'successful']",['nan'],"['felt', 'opportunity', 'speak', 'everyone', 'major', 'would', 'give', 'great', 'opportunity', 'speak', 'people', 'similar', 'interest']","['campus', 'layout', 'class', 'location']","['favorite', 'part', 'even', 'social', 'activity', 'give', 'chance', 'say', 'find', 'niche']",['nan']
"['experience', 'pretty', 'easy', 'pay', 'attention', 'due', 'date']",['nan'],['nan'],"['small', 'group', 'really', 'help']","['think', 'everything', 'helpful']","['like', 'afternoon', 'activity']","['overall', 'great', 'experience', 'really', 'help', 'prepare', 'fall']"
['nan'],['nan'],['nan'],"['time', 'socialize', 'parent', 'student']","['tour', 'campus']","['go', 'downtown']",['nan']
['nan'],['nan'],"['obvious', 'chance', 'promote', 'school', 'within', 'try', 'make', 'want', 'live', 'campus', 'already', 'also', 'whole', 'free', 'free', 'obnoxious', 'pay', 'year', 'attend', 'place', 'nothing', 'free']",['nan'],['nan'],['nan'],['nan']
['nan'],"['trust', 'would', 'help', 'put', 'class', 'necessary', 'advisor', 'search', 'credit', 'visit', 'schedule', 'class', 'continue', 'even', 'home', 'expect']",['nan'],"['maybe', 'night', 'activity', 'join', 'student']","['spend', 'time', 'actually', 'group', 'walk', 'around', 'meet', 'new', 'friend', 'get', 'answer', 'question', 'actual', 'student', 'useful', 'listen', 'many', 'speech']","['like', 'story', 'split', 'college', 'group', 'decide', 'since', 'start', 'feel', 'comfortable']",['nan']
"['maybe', 'provide', 'review', 'course', 'prior', 'give', 'assessment']","['academic', 'advise', 'super', 'helpful', 'advisor', 'really', 'understand']",['nan'],"['guide', 'encourage', 'u', 'talk', 'one', 'another', 'parent', 'leave', 'really', 'ease', 'nerve', 'meet', 'people']","['let', 'u', 'roam', 'around', 'campus', 'little', 'help', 'u', 'find', 'way', 'around']","['flash', 'guide', 'story', 'favorite', 'part']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['short', 'meet', 'money', 'matter', 'program']",['nan']
[],['nan'],['nan'],"['feel', 'force', 'make', 'friend', 'event', 'people', 'interest', 'similar', 'mine']","['club', 'organization', 'opportunity']","['able', 'room', 'future', 'roommate', 'selective', 'attendance', 'event', 'freedom']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],['people'],['nan']
['nan'],['nan'],['nan'],"['fairly', 'awkward', 'free', 'time', 'major', 'probably', 'would', 'lead', 'connection']","['please', 'make', 'strange']","['really', 'great', 'especially', 'tara', 'jenna', 'make', 'feel', 'include', 'really', 'assure', 'advice', 'next', 'year']",['nan']
['nan'],['nan'],"['confession', 'golden', 'actually', 'play', 'game', 'human', 'bingo', 'game']","['visible', 'name', 'tag', 'sit', 'table', 'name', 'tag', 'hide', 'underneath', 'top', 'table', 'read']",['nan'],['nan'],['nan']
['nan'],"['love', 'get', 'everything', 'do', 'wait', 'really', 'long']",['nan'],"['need', 'social', 'would', 'bring', 'everyone', 'together', 'make', 'talk']","['everything', 'great']",['everything'],['nan']
"['allow', 'calculator', 'math', 'test']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],"['time', 'able', 'sit', 'talk', 'personally', 'hard', 'make', 'friend', 'unless', 'someone', 'else', 'talk', 'first']",['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['favorite', 'part', 'get', 'know', 'student', 'flash', 'guide', 'also', 'go', 'college']",['nan']
['nan'],['nan'],['nan'],"['sure', 'shy', 'person', 'hard', 'time', 'socialize', 'unlike', 'everyone', 'else', 'probably', 'thing']","['summer', 'assignment']","['walk', 'around', 'see', 'campus']",['nan']
['nan'],"['ask', 'question']","['lot', 'information', 'one', 'day']",['activity'],['transition'],['activity'],['nan']
['nan'],['nan'],['nan'],['nan'],"['get', 'access', 'financial', 'support', 'like', 'scholarship', 'grant', 'college', 'besides']",['nan'],['nan']
['nan'],"['advisor', 'absolutely', 'amaze', 'need', 'give', 'raise', 'talk', 'interest', 'discus', 'student', 'organization', 'help', 'make', 'decision', 'regard', 'placement', 'also', 'give', 'advice', 'thing', 'could', 'start', 'build', 'resume', 'apply', 'medical', 'school', 'next', 'day', 'decide', 'want', 'different', 'professor', 'class', 'move', 'around', 'class', 'accommodate', 'wish', 'next', 'morning', 'issue', 'concern', 'future', 'go', 'straight']",['nan'],"['small', 'session', 'group', 'activity']",['nan'],"['like', 'walk', 'around', 'campus']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['find', 'schedule']",['nan']
"['easy', 'simple', 'interface', 'however', 'way', 'go', 'back', 'review', 'change', 'answer', 'previous', 'question']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['take', 'college', 'class', 'live', 'kent', 'whole', 'life', 'stay', 'dorm', 'know', 'lot', 'stuff', 'besides', 'specific', 'major']",['nan'],"['time', 'talk']","['commute', 'best', 'place', 'get', 'supply']",['nan'],['nan']
['nan'],['nan'],['nan'],['put'],"['tour', 'college']","['meet', 'new', 'people']",['nan']
"['never', 'think', 'would', 'use', 'upset', 'know']","['discover', 'thing', 'class', 'path', 'become', 'vet', 'think', 'would', 'advisor', 'really', 'care', 'say', 'give', 'feedback', 'situation']","['attend', 'activity', 'number', 'reason', 'glow', 'expect', 'think', 'would', 'something', 'outside', 'involve', 'everybody', 'music', 'terrible', 'dance', 'make', 'student', 'party']","['student', 'will', 'open', 'especially', 'student', 'shy', 'play', 'game', 'question', 'help', 'shy', 'situation', 'make', 'nervous', 'get', 'talk', 'major', 'class', 'want', 'take']",['nan'],"['favorite', 'part', 'go', 'eat', 'din', 'hall', 'great', 'aesthetic', 'amaze', 'food', 'great', 'selection', 'great', 'way', 'meet', 'people']","['gay', 'wonderful', 'day']"
['nan'],"['since', 'already', 'take', 'last', 'year', 'kent', 'credit', 'hour', 'feel', 'allow', 'take', 'course', 'really', 'truly', 'need', 'class', 'besides', 'wonderful', 'speak']",['nan'],"['force', 'talk']",['nan'],"['schedule', 'class']","['student', 'lot', 'credit', 'already', 'kent', 'go', 'orientation', 'attend', 'previous', 'year']"
[],"['advisor', 'friendly', 'able', 'answer', 'question']",['nan'],['nan'],['nan'],['nan'],['nan']
['nope'],['good'],['nan'],"['student', 'werent', 'shy']",[],"['academic', 'advise', 'help', 'choose', 'major', 'minor']",['nan']
['nan'],['nan'],['nan'],"['break', 'small', 'group', 'v', 'large', 'group', 'lecture', 'day', 'lunch']",['nan'],"['registration', 'prep']",['nan']
['nan'],['nan'],['nan'],['nan'],"['interaction', 'student', 'outside', 'college', 'even', 'activity']",['nan'],['nan']
"['lot', 'information', 'enough', 'would', 'add', 'like', 'activity', 'board', 'game', 'student', 'event', 'engage']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
