OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
['nan'],"['helpful', 'work', 'around', 'class', 'schedule', 'fit', 'comfortably', 'still', 'provide', 'want', 'get', 'academic', 'easy', 'connect', 'make', 'feel', 'ease', 'whole', 'scenario', 'experience', 'everything', 'hop']",['nan'],"['people', 'major', 'major', 'base', 'activity', 'activity', 'gear', 'towards', 'people', 'general', 'icebreaker', 'get', 'know', 'stuff', 'shy', 'like', 'get', 'know', 'people']","['let', 'parent', 'break', 'early', 'felt', 'u', 'student', 'get', 'much', 'time', 'need', 'find', 'niche', 'parent']","['play', 'cart', 'tech', 'people']",['excite']
"['phone', 'see', 'many', 'question', 'leave', 'take']",['nan'],['nan'],['roommate'],"['think', 'weird', 'student', 'organization', 'diversity', 'session']",['nan'],['nan']
['nan'],['nan'],['nan'],"['know', 'major', 'always', 'help', 'create', 'conversation']",[],"['people', 'major', 'gather', 'go', 'professor', 'cool', 'know', 'would', 'class', 'along', 'find', 'major', 'exactly']",['nan']
['nan'],['nan'],['nan'],"['time', 'small', 'group', 'hard', 'everyone', 'parent']",['nan'],"['walk', 'around', 'get', 'see', 'everything']",['nan']
['nan'],"['take', 'long', 'time', 'confuse', 'stress', 'never', 'schedule', 'felt', 'like', 'everyone', 'keep', 'say', 'schedule', 'idea']","['way', 'long']","['group', 'thing', 'common', 'major']",['nan'],"['talk', 'career', 'advisor']","['make', 'day', 'long', 'especially', 'student', 'commute', 'reason', 'stay', 'dorm', 'night']"
['nan'],['nan'],['nan'],"['put', 'small', 'group', 'within', 'major', 'spend', 'time']","['get', 'involve']","['meet', 'new', 'people']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['tour', 'downtown', 'kent']",['nan']
['nan'],"['advisor', 'awesome', 'organize', 'process', 'go', 'smoothly']",['nan'],"['allot', 'time', 'icebreaker', 'small', 'group']",['nan'],"['enjoy', 'story', 'helpful', 'go', 'new', 'set']",['nan']
"['really', 'feel', 'pretty', 'straight', 'forward', 'user']",['nan'],['nan'],"['talk', 'people']",['nan'],"['get', 'meet', 'people', 'similar']",['nan']
['nan'],['nan'],['nan'],"['time', 'find', 'common', 'interest', 'team', 'build', 'know', 'game']","['get', 'familiar', 'campus', 'good', 'communication', 'thing']","['advise', 'appointment', 'awesome']",['nan']
['nan'],['nan'],['nan'],"['make', 'simple', 'conversation', 'go']",['good'],"['glow', 'party']",['nan']
['nan'],"['advisor', 'day', 'genuinely', 'set', 'make', 'sure', 'comfortable', 'excite', 'come', 'school', 'fully', 'make', 'sure', 'want', 'class', 'advisor', 'helpful', 'beyond', 'word', 'glad', 'care', 'student', 'personal', 'level']",['nan'],"['social', 'activity', 'give', 'u', 'foundation', 'opportunity', 'make', 'friend', 'able', 'meet', 'people', 'find', 'common', 'interest', 'quickly', 'even', 'able', 'throughout', 'night']","['maybe', 'little', 'bite', 'campus', 'tour', 'one', 'go', 'depth', 'college', 'tour', 'take', 'make', 'college', 'decision']","['meet', 'everyone', 'especially', 'enjoy', 'group', 'student', 'kind', 'genuine', 'people', 'meet', 'find', 'easy', 'get', 'along', 'make', 'connection']",['nan']
['nan'],['nan'],['nan'],['nan'],"['individual', 'help', 'rather', 'large', 'group']",['nan'],['nan']
['nan'],['nan'],['nan'],"['meet', 'people', 'major']","['meet', 'student', 'take', 'major']","['schedule', 'class', 'academic', 'advisor', 'help', 'lot', 'decide', 'time', 'class', 'well', 'tell', 'much', 'time', 'would', 'take', 'walk', 'one', 'build', 'another']",['nan']
['nan'],['nan'],['nan'],"['small', 'group', 'day']","['different', 'dorm', 'room']",['nan'],['nan']
['nan'],['nan'],['nan'],"['dedicate', 'time', 'allot', 'day', 'partner', 'travel', 'around']",['nan'],"['sign', 'class', 'environment', 'relax', 'allow', 'focus']",['nan']
['nan'],"['hop', 'freedom', 'choose', 'class']",['nan'],"['even', 'game']","['spend', 'time', 'class', 'schedule']","['even', 'social']",['nan']
['nan'],['nan'],['nan'],"['depend', 'major', 'social', 'activity']","['campus', 'see', 'half', 'campus', 'yet', 'cool', 'choice', 'either', 'tour', 'downtown', 'tour', 'whole', 'campus']","['favorite', 'part', 'fun', 'glow', 'party', 'th', 'floor', 'food', 'also', 'favorite', 'part']",['nan']
"['bad', 'math']",['nan'],['nan'],['nothing'],['nan'],"['schedule', 'class', 'know', 'class', 'take']",['nan']
[],['none'],"['nothing', 'say', 'besides', 'may', 'bite', 'due', 'lack', 'sleep']","['sleep', 'night', 'prior', 'would', 'lot', 'easy', 'basically', 'nothing', 'guy', 'could', 'fault']","['think', 'cover', 'quite', 'bite']","['part', 'get', 'sleep', 'hour', 'awake']",['none']
[],"['maybe', 'give', 'advisor', 'year']",['nan'],"['entirely', 'sure', 'wish', 'would', 'reach', 'little']","['find', 'build']","['gon', 'na', 'lie', 'food', 'love', 'aura', 'din', 'hall', 'opportunity', 'socialize', 'without', 'expectation']",['nan']
['nan'],['helpful'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['parent'],['nan'],"['go', 'explore', 'town', 'night']",['nan']
"['study', 'much', 'information', 'prior', 'take', 'assessment']",['nan'],['nan'],['nan'],"['possibly', 'talk', 'club']","['go', 'downtown', 'kent', 'whole', 'bunch', 'people', 'connect']",['nan']
