OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
['nan'],"['great', 'learn', 'expectation', 'also', 'make', 'feel', 'good', 'stress', 'start', 'college']",['nan'],"['think', 'would', 'nice', 'see', 'flash', 'guide', 'learn', 'way', 'around', 'campus']","['favorite', 'part', 'finally', 'get', 'everything', 'schedule', 'set', 'place', 'make', 'feel', 'confident']","['best', 'love']",['nan']
['nan'],['nan'],['nan'],"['spend', 'minute', 'go', 'campus', 'map']","['flash', 'guide', 'staff', 'great']","['maintain', 'great', 'academic', 'skill', 'grade', 'also', 'make', 'experience', 'participate', 'activity']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['well', 'inform', 'individual', 'enjoy', 'work', 'bu', 'also', 'enjoy', 'fun']",['nan']
['nan'],"['everybody', 'kind']",['nan'],"['direction', 'around', 'campus']","['love', 'flash', 'guide', 'meet', 'everyone']","['hard', 'worker', 'spirit', 'funny', 'kind', 'person', 'happy']",['nan']
,,,,,,
"['wait', 'last', 'minute', 'take', 'take', 'half', 'hour', 'put']","['hear', 'horror', 'story', 'friend', 'university', 'schedule', 'unbelievable', 'easy', 'time', 'pick', 'class', 'create', 'schedule', 'meet', 'academic', 'advisor', 'fabulous', 'could', 'actually', 'talk', 'someone', 'physically', 'schedule', 'also', 'extremely', 'helpful', 'visual', 'schedule', 'creator', 'student', 'advisor', 'help', 'real', 'schedule']","['please', 'love', 'thing', 'holy', 'hold', 'many', 'meet', 'long', 'time', 'allow', 'break', 'even', 'minute', 'swear', 'go', 'cry', 'health', 'lady', 'come', 'stage', 'sit', 'another', 'minute', 'presentation', 'mental', 'prep']","['would', 'love', 'would', 'get', 'time', 'meet', 'people', 'college', 'major', 'time', 'meet', 'single', 'person', 'share', 'major', 'sure', 'fall', 'would', 'quite', 'nice', 'meet', 'someone', 'similar', 'interest', 'program']","['meet', 'new', 'friend', 'awesome', 'kent', 'state', 'allow', 'encourage', 'student', 'interact', 'throughout', 'orientation', 'without', 'push', 'sure', 'would', 'find', 'friend']","['find', 'purpose', 'speaker', 'keep', 'say', 'also', 'believe', 'expect', 'outlive', 'boundary', 'create', 'high', 'school']",['nan']
"['let', 'u', 'go', 'back', 'skip', 'question']",['nan'],['nan'],['immunization'],"['explore', 'campus']","['best', 'flash', 'show', 'support', 'strive', 'greatness']",['nan']
"['would', 'encourage', 'student', 'take', 'early', 'close', 'let', 'school', 'gauge', 'knowledge', 'good', 'still', 'practice']","['simple', 'easy']","['really', 'long']",['nan'],"['meet', 'cool', 'people', 'see', 'dorm', 'life', 'first', 'time']","['success', 'happiness']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['positive', 'kind', 'always', 'best']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['keep', 'grade', 'grow', 'person']",['nan']
"['placement', 'assessment', 'close', 'application', 'multiple', 'time', 'result', 'restart', 'multiple', 'time', 'sure', 'issue', 'could', 'resolve', 'experience', 'test', 'straightforward', 'though']","['fast', 'pace', 'learn', 'lot', 'able', 'schedule', 'class', 'efficiently']",['nan'],"['opportunity', 'meet', 'student', 'activity']","['really', 'enjoy', 'advise', 'session', 'learn', 'course', 'offer']","['passionate', 'study', 'want', 'future', 'respect', 'everyone', 'difference', 'embrace', 'diversity']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['enjoy', 'talk', 'interact', 'new', 'classmate']","['open', 'mind', 'willingness', 'succeed']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['excel', 'academically', 'create', 'purpose']",['nan']
"['send', 'form', 'notification', 'let', 'u', 'know', 'deadline', 'placement', 'test', 'come', 'least', 'reminder']","['wait', 'hour', 'go', 'college', 'nurse', 'sit', 'minute', 'office', 'see', 'advisor']",['nan'],['nan'],"['meet', 'become', 'friend', 'new', 'people', 'go', 'thing']","['well', 'school', 'find', 'purpose']",['nan']
['nan'],['nan'],['nan'],"['purchase', 'book', 'find', 'job']","['food', 'dorm', 'tour', 'downtown']","['love', 'success']",['nan']
['nan'],"['good', 'felt', 'discourage', 'meet', 'many', 'friend', 'want', 'meet', 'advisor', 'class', 'schedule', 'felt', 'super', 'excite', 'start', 'college', 'fall']",['nan'],"['theater', 'program', 'talk', 'want']","['academic', 'adviser', 'extremely', 'helpful', 'set', 'schedule', 'current', 'kent', 'student', 'really', 'nice', 'people', 'extremely', 'real', 'helpful', 'treat', 'like', 'adult', 'help', 'lot', 'anxiety', 'start', 'college']","['go', 'class', 'graduate', 'year', 'academically', 'successful']",['nan']
['none'],['none'],['none'],"['one', 'stop', 'shop', 'kent']","['even', 'activity']","['achieve', 'goal', 'life']",['none']
['nan'],['nan'],['nan'],['nope'],"['able', 'stay', 'one', 'dorm', 'night', 'good', 'indication', 'large', 'room']","['believe', 'expect', 'good', 'student', 'follow', 'campus', 'rule', 'regulation', 'overall', 'good', 'experience', 'next', 'year']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['active', 'responsible', 'student', 'get', 'involve', 'accept']",['nan']
,,,,,,
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['behavior', 'befit', 'young', 'adult', 'use', 'give', 'resource', 'possible', 'get', 'best', 'possible', 'result', 'further', 'education', 'research']",['nan']
,,,,,,
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['best', 'academically', 'make', 'friend', 'find', 'new', 'opportunity']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['find', 'purpose']",['nan']
['nan'],"['wait', 'far', 'long', 'expect', 'stay', 'office', 'college', 'architecture', 'environmental', 'design', 'build', 'well', 'hour', 'advisor', 'come', 'collect']",['nan'],['nan'],['nan'],"['community', 'involvement']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['expect', 'academically', 'focus', 'successful', 'along', 'involve', 'sort', 'campus', 'activity']",['nan']
['nan'],['nan'],['nan'],['nan'],"['favorite', 'part', 'meet', 'student', 'meal', 'even', 'activity']","['strive', 'academic', 'personal', 'success', 'time', 'kent', 'state']",['nan']
[],['nan'],['nan'],[],"['get', 'familiar', 'campus', 'help', 'feel', 'home']","['academically', 'successful', 'involve', 'fun', 'college', 'experience']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['take', 'academic', 'importantly']",['nan']
['nan'],"['student', 'help', 'polite', 'assume', 'lot', 'thing', 'like', 'want', 'take', 'morning', 'class', 'slot', 'class', 'want', 'take', 'passive', 'person', 'would', 'let', 'go']",['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['please', 'academic', 'advise', 'everyone', 'nice', 'welcome', 'happy']",['great'],['nope'],"['meet', 'new', 'friend', 'much', 'fun', 'every', 'part']","['get', 'stuff', 'do', 'really', 'find', 'college']","['thank', 'everyone', 'everything', 'make', 'amaze', 'appreciate', 'many', 'happy']"
['nan'],['nan'],['nan'],"['focus', 'get', 'around', 'campus', 'class', 'locate']","['favorite', 'part', 'meet', 'peer', 'classmate']","['kent', 'state', 'student', 'feel', 'expect', 'responsible', 'active', 'community']",['nan']
"['take', 'mine', 'crash', 'middle', 'take', 'allow', 'complete', 'test', 'properly']",['nan'],['nan'],"['schedule', 'class', 'pay', 'tuition', 'due']","['really', 'like', 'get', 'know', 'campus', 'food', 'pretty', 'good', 'also', 'enjoy', 'talk', 'hear', 'story']",['successful'],['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['good', 'grade']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['academically', 'successful', 'interact', 'peer', 'get', 'involve']",['nan']
['nan'],['nan'],['nan'],['nan'],"['fairly', 'enjoy', 'demonstration', 'college', 'lecture', 'would', 'like', 'really', 'give', 'sense', 'college', 'course', 'high', 'school', 'class', 'like']","['believe', 'kent', 'state', 'student', 'need', 'well', 'school', 'well', 'stay', 'involve', 'community']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['get', 'involve', 'form', 'friendship']",['nan']
,,,,,,
['nan'],"['would', 'like', 'meet', 'advisor', 'personally', 'people', 'meet', 'friendly', 'helpful', 'perturb', 'least']",['nan'],"['none', 'come', 'mind', 'topic', 'discus', 'reasonable', 'amount', 'time']","['make', 'whole', 'experience', 'lot', 'fun', 'lively']","['academic', 'excellence', 'get', 'fellow', 'student', 'overall', 'succeed']",['nan']
['nan'],['nan'],['nan'],['nan'],"['enjoy', 'go', 'first', 'class', 'find', 'expect', 'student']","['come', 'college', 'start', 'whole', 'new', 'chapter', 'life', 'freedom', 'come', 'responsibility', 'believe', 'expect', 'respectful', 'make', 'decision', 'best']",['nan']
"['test', 'tell', 'do', 'boot', 'happen', 'another', 'girl', 'talk', 'well']",['nan'],['nan'],['nan'],"['enjoy', 'go', 'downtown', 'enjoy', 'hear', 'story']","['go', 'class', 'try', 'best']","['amaze', 'wait', 'show', 'kent', 'pride']"
"['pretty', 'good', 'anything', 'really', 'improve', 'upon']","['maybe', 'get', 'learn', 'core', 'class']",['nan'],"['scholarship', 'viable', 'kent', 'student']","['plan', 'schedule', 'college']","['pride', 'school', 'pride', 'student', 'work', 'hard']",['nan']
