OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
,,,,,,
['nan'],['nan'],['nan'],"['get', 'around', 'campus']","['story', 'favorite', 'part', 'great', 'advice', 'story', 'encourage', 'try', 'new', 'thing', 'believe']","['show', 'kent', 'state', 'pride', 'succeed', 'academically', 'financially', 'socially', 'mentally']","['excite', 'start', 'fall']"
['nan'],['nan'],['nan'],['nan'],['nan'],"['positive', 'responsible', 'student']",['nan']
['nan'],['nan'],['nan'],"['think', 'little', 'time', 'spend', 'art', 'extracurricular', 'opportunity', 'school', 'offer', 'otherwise', 'satisfy', 'tour']","['favorite', 'part', 'experience', 'able', 'meet', 'new', 'people', 'similar', 'interest', 'also', 'nice', 'meet', 'people', 'major', 'people', 'express', 'similar', 'extracurricular', 'interest']","['well', 'positively', 'represent', 'school', 'graduate']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['time', 'socialize', 'academic', 'put', 'education', 'first']",['nan']
"['personally', 'idea', 'expect', 'prior', 'take', 'test', 'wish', 'list', 'topic', 'available', 'know', 'would', 'expect', 'test', 'mainly', 'reality', 'algebra', 'learn', 'since', 'th', 'grade']",['nan'],"['afternoon', 'session', 'back', 'back', 'much', 'extremely', 'bore']",['nan'],"['walk', 'around', 'downtown', 'area', 'see']","['discover', 'want', 'good', 'experience', 'move', 'forward', 'towards', 'goal', 'career']",['nan']
['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people']",['successful'],['nan']
"['pretty', 'good', 'math', 'go', 'vocational', 'school', 'last', 'two', 'year', 'core', 'class', 'important', 'teacher', 'kind', 'bad', 'teach', 'dont', 'remember', 'math', 'know']",['nan'],"['one', 'lady', 'talk', 'trash', 'really', 'long', 'time', 'really', 'sure', 'ever', 'audio', 'record', 'fight', 'song', 'fire', 'sound', 'bad']",['nan'],['nan'],['freak'],['nan']
"['everything', 'go', 'smoothly', 'personally']","['advise', 'smooth', 'easy', 'process', 'advisor', 'courteous', 'helpful']",['nan'],['nan'],"['socialize', 'learn', 'experience']","['try', 'hard', 'good', 'educate', 'become', 'enlighten', 'person']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['involve', 'well', 'class']",['nan']
['nan'],['nan'],['nan'],['nan'],['class'],[],['nan']
,,,,,,
"['think', 'well', 'do']",['nan'],['nan'],['nan'],"['like', 'meet', 'new', 'people', 'comfort', 'become', 'friend', 'situation', 'know', 'people', 'enter', 'college', 'fall']","['go', 'think', 'give', 'credit', 'deserve', 'join', 'group', 'club', 'ask', 'help', 'need']",['nan']
,,,,,,
"['particularly', 'good', 'bad', 'question', 'time', 'limit', 'enough', 'complete', 'test']",['nan'],['nan'],"['book', 'store', 'available', 'near', 'campus']","['split', 'major', 'make', 'room', 'little', 'bite']","['find', 'person', 'want', 'become', 'acknowledge', 'strength', 'weakness', 'use', 'advantage', 'follow', 'basic', 'rule', 'student', 'conduct', 'respect', 'difference', 'may', 'encounter', 'connect', 'people', 'journey', 'college']","['excite', 'begin', 'new', 'adventure', 'kent', 'state']"
['nan'],['nan'],['nan'],['nan'],[],['succeed'],['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['believe', 'expect', 'succeed', 'kent', 'state', 'also', 'enjoy', 'also', 'get', 'involve', 'different', 'activity']",['nan']
['nan'],['nan'],['nan'],"['opinion', 'ask', 'section', 'little', 'short', 'presentation', 'first', 'group', 'advise', 'appointment', 'really', 'time', 'ask', 'question']","['break', 'group', 'college']","['find', 'call', 'go', 'get', 'involve']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['effort', 'academic', 'success', 'willingness', 'learn']",['nan']
"['make', 'user']","['everything', 'good']",['good'],"['campus', 'tour']","['campus', 'tour']",['effort'],['nan']
"['feel', 'like', 'question', 'know', 'forget', 'little', 'rule', 'think', 'penalize']",['nan'],['nan'],[],[],"['set', 'goal', 'follow', 'meet', 'new', 'people', 'academic', 'success', 'find', 'purpose']","['like', 'first', 'class', 'section']"
['nan'],['nan'],['nan'],['nan'],['nan'],"['believe', 'expect', 'well', 'class', 'get', 'involve', 'student', 'activity']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['succeed', 'class']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['register', 'class', 'really', 'make', 'entire', 'experience', 'seem', 'real']","['best', 'student', 'possibly']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['successful', 'study', 'research']",['nan']
"['finish', 'go', 'miss', 'activity']",['nan'],['nan'],"['balance', 'social', 'fun', 'aspect', 'college', 'well', 'buckle', 'academic', 'side', 'college']","['visit', 'downtown', 'kent', 'meet', 'new', 'people', 'well', 'dance', 'party']","['expect', 'seize', 'opportunity', 'come', 'way', 'well', 'perform', 'best', 'ability', 'whatever']",['nan']
,,,,,,
"['hard', 'math', 'complicate', 'step', 'prior', 'test', 'self']","['like', 'advisor', 'roster', 'ask', 'could', 'move', 'advisor', 'day', 'go', 'get', 'car', 'would', 'like', 'change', 'work', 'schedule', 'class']",['nan'],"['spend', 'time', 'place']","['talk', 'flash', 'guild']","['stud', 'abroad']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['well', 'succeed']",['nan']
['nan'],['nan'],"['absolutely', 'wonderful', 'especially', 'jordan', 'mason', 'funny', 'presentation', 'well']","['campus', 'tour']",['meet'],"['achieve', 'academic', 'success', 'full', 'potential']",['nan']
,,,,,,
"['allow', 'easy', 'access', 'retest', 'state', 'student', 'hard', 'drive', 'hour', 'drive', 'back', 'home', 'student', 'like', 'would', 'like', 'get', 'do', 'welcome', 'weekend', 'get', 'campus']",['nan'],['nan'],"['show', 'student', 'around', 'campus', 'like', 'build']","['meet', 'hear', 'story']","['find', 'purpose', 'help', 'future']","['send', 'basic', 'schedule', 'day', 'hand', 'know', 'expect']"
['nan'],"['great', 'job']",['nan'],['nan'],['nan'],"['hard', 'work']",['nan']
['nan'],"['nice', 'talk', 'someone', 'best', 'interest', 'heart']",['nan'],['nan'],"['everything', 'amaze']","['try', 'hard', 'excel']",['nan']
,,,,,,
"['seam', 'fine', 'maybe', 'upgrade', 'test', 'system', 'sometime', 'soon']","['advisor', 'kind', 'helpful', 'patient']",['nan'],"['get', 'around', 'campus', 'talk', 'people', 'college', 'settle', 'kent', 'state', 'specific', 'college']","['advise', 'advisor', 'super', 'nice', 'wait', 'great', 'chat', 'guy', 'architecture']","['get', 'involve', 'successful']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['get', 'involve', 'activity', 'campus', 'also', 'stay', 'top', 'school', 'work', 'time']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['well', 'class', 'positive', 'impact', 'kent', 'state', 'campus', 'world']",['nan']
"['need', 'take', 'placement', 'assessment', 'use', 'act', 'score', 'place']","['helpful', 'know', 'would', 'best', 'specific', 'major']",['nan'],"['help', 'find', 'way', 'around', 'campus']","['meet', 'roommate', 'first', 'time', 'move', 'day', 'possible', 'future', 'dorm', 'room']","['best', 'effort']",['nan']
[],['nan'],['nan'],[],"['flash', 'guide', 'story', 'personal', 'make', 'able', 'connect', 'different', 'level']","['successful', 'seek', 'help', 'need', 'use', 'resource', 'pride']",['nan']
['fine'],"['good', 'job', 'help', 'build', 'good', 'schedule']",['nan'],"['think', 'cover', 'base']","['plan', 'schedule', 'even', 'activity']","['get', 'good', 'grade', 'active', 'campus']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],['good'],['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['go', 'class']",['nan']
[],"['force', 'u', 'complete', 'survey', 'ask', 'would', 'ask', 'next', 'time', 'consider', 'visit']",['nan'],"['find', 'get', 'class']","['schedule', 'class', 'easy', 'find', 'class', 'need', 'advisor', 'help']","['get', 'involve', 'much', 'possible', 'meet', 'many', 'new', 'people']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['get', 'good', 'grade', 'find', 'want', 'college']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],['successful'],['nan']
"['notify', 'u', 'early', 'program', 'improve', 'score']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['overall', 'good', 'experience', 'would', 'like', 'opportunity', 'speak', 'honor', 'college', 'advisor', 'though']",['nan'],['nan'],"['really', 'enjoy', 'tour', 'downtown', 'kent', 'nice', 'able', 'see', 'place', 'would', 'able', 'go', 'live', 'campus', 'guide', 'also', 'upbeat', 'give', 'good', 'description', 'place', 'town']","['expect', 'best', 'encourage', 'participate', 'activity']",['nan']
['nan'],['nan'],['nan'],"['park', 'bus']","['see', 'campus', 'learn', 'club', 'class']","['attend', 'class', 'get', 'involve']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['definitely', 'make', 'experience', 'great', 'sociable', 'relatable', 'full', 'information', 'story', 'help', 'u', 'succeed', 'college', 'fun', 'creative', 'always', 'share', 'information', 'talk', 'fellow', 'student', 'also', 'encourage', 'u', 'follow', 'social', 'medium', 'ever', 'question', 'semester', 'also', 'helpful', 'wonderful', 'highlight', 'experience']","['get', 'tool', 'need', 'succeed', 'career', 'path', 'make', 'friend', 'make', 'college', 'experience']",['nan']
['nan'],['nan'],['nan'],"['tour', 'campus', 'little', 'bite', 'familiar', 'big', 'little', 'confuse']","['story', 'fun', 'help', 'get', 'feel', 'student', 'experience', 'kent']","['get', 'involve', 'group', 'activity', 'campus', 'go', 'class', 'successful', 'student']",['nan']
['nan'],['nan'],['nan'],['nan'],"['favorite', 'part', 'destination', 'kent', 'state', 'basically', 'even', 'activity', 'provide', 'student']","['expect', 'graduate', 'year', 'kent', 'state']",['nan']
"['sure', 'really', 'help', 'know', 'lot', 'problem', 'try', 'get', 'link', 'work', 'assessment', 'know', 'lot', 'people']","['advise', 'appointment', 'useful', 'help', 'lot', 'show', 'lot', 'people', 'must', 'rush', 'assessment', 'like', 'comfort', 'negative', 'appointment', 'lack', 'sympathy', 'understand', 'fact', 'rush', 'assessment', 'accurate', 'showcase', 'intelligence', 'retake', 'one', 'allow']",['nan'],['nan'],"['comfort', 'honesty', 'staff', 'flash', 'guide', 'provide', 'u', 'make', 'tour', 'realistic', 'help', 'understand', 'much', 'go', 'adjust', 'college', 'life']","['best', 'represent', 'school', 'best', 'also', 'enjoy', 'time']",['nan']
"['yes', 'math', 'portion', 'remember', 'go', 'long', 'process', 'kent', 'admission', 'man', 'back', 'forth', 'eventual', 'step', 'step', 'instruction', 'phone', 'link', 'break']","['adore', 'academic', 'advise', 'experience', 'start', 'adviser', 'exceptionally', 'delightful', 'woman', 'name', 'extremely', 'helpful', 'energetic', 'pleasant', 'informative', 'provide', 'information', 'class', 'individually', 'tremendously', 'patient', 'helpful', 'amount', 'query', 'help', 'build', 'simply', 'could', 'happy', 'honestly', 'best', 'part', 'visit', 'also', 'truly', 'enjoy', 'meet', 'seem', 'recall', 'name', 'equally', 'delightful', 'recall', 'say', 'parent', 'bear', 'decent', 'believe', 'anyways', 'speak', 'many', 'people', 'hard', 'keep', 'perfect', 'track', 'know', 'junior', 'sit', 'right', 'hand', 'side', 'room', 'would', 'see', 'door', 'apart', 'young', 'life', 'community', 'teach', 'new', 'way', 'draw', 'star', 'still', 'contest', 'extremely', 'helpful', 'absolute', 'delight', 'talk', 'make', 'ashamed', 'say', 'forget', 'name', 'sigh', 'dramatically', 'woe', 'ever', 'forgetful', 'brain']","['provide', 'lot', 'information', 'concise', 'information', 'take', 'min', 'min', 'actual', 'content']","['obtain', 'book']","['honestly', 'academic', 'advise', 'experience', 'm', 'make', 'seem', 'real', 'excite', 'helpful', 'way', 'people', 'road', 'academic', 'may', 'meet', 'short', 'amount', 'time', 'extremely', 'grateful', 'truly', 'make', 'excite', 'upcoming', 'semester', 'give', 'high', 'regard', 'first', 'time', 'long', 'time', 'believe', 'someone', 'sincerely', 'earn']","['give', 'utmost', 'thing', 'endeavor', 'begin', 'end', 'strive', 'student', 'become', 'exceptional', 'person', 'become', 'someone', 'kent', 'brag', 'distinguish', 'alumnus']","['thank', 'much', 'everyone', 'provide', 'truly', 'wondrous', 'experience', 'miss', 'especially', 'miss', 'three', 'superb', 'individual', 'wish', 'utmost', 'fun', 'hope', 'people', 'remember', 'stay', 'fully', 'clothe', 'dont', 'accidently', 'sit', 'someone', 'even', 'though', 'make', 'friend', 'hope', 'get', 'see', 'new', 'york', 'truly', 'excellent', 'experience', 'wish', 'best', 'time', 'wish', 'hope', 'endeavor', 'especially', 'new', 'position', 'council', 'tech', 'thing', 'apology', 'forget', 'specific', 'title', 'please', 'take', 'diminishment', 'sound', 'positively', 'prospect', 'become', 'president', 'sorry', 'spell', 'grammatical', 'error']"
['nan'],['nan'],['nan'],['nan'],['nan'],"['make', 'university']",['nan']
,,,,,,
['nan'],['nan'],['nan'],[],"['favorite', 'part', 'socialize', 'event', 'end', 'first', 'day']","['believe', 'expect', 'receive', 'good', 'grade', 'behave']",['nan']
['nan'],"['feel', 'advise', 'great']",['nan'],"['travel', 'around', 'campus']","['meet', 'new', 'people', 'flash', 'guide']","['go', 'class']",['nan']
['nan'],"['feel', 'advise', 'session', 'great']",['nan'],['nan'],['nan'],['nan'],['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['say', 'anything', 'involve', 'top', 'game', 'obviously', 'really', 'really']","['acceptance', 'diversity', 'completely', 'embrace', 'academic', 'success', 'learn']",['nan']
"['freeze', 'time']",['nan'],[],"['yes', 'felt', 'best', 'truly', 'meet', 'student']","['free', 'food']","['absolute', 'best']",['nan']
[],['nan'],['nan'],"['show', 'people', 'extracurricular', 'club', 'page', 'get', 'kent', 'site']","['enjoy', 'social', 'event', 'night', 'fun', 'something', 'familiar', 'new', 'people']","['class', 'make', 'new', 'friend', 'fun']",['nan']
"['complete', 'german', 'placement', 'exam', 'page', 'end', 'would', 'load', 'provide', 'frustrate', 'experience', 'know', 'go', 'would']","['love', 'already', 'heather']",['nan'],['nan'],['nan'],"['academic', 'success', 'involvement', 'club', 'organization', 'great', 'kent', 'community']",['nan']
['nan'],['nan'],['nan'],[],"['love', 'get', 'know', 'people', 'even', 'activity']","['think', 'expect', 'perform', 'high', 'degree', 'pride']",['nan']
"['deadline', 'say', 'may', 'different', 'one', 'say', 'hour', 'prior']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['academic', 'advisor', 'will', 'take', 'much', 'time', 'need', 'answer', 'question']",['nan'],['nan'],"['able', 'learn', 'safety', 'kent', 'offer', 'also', 'able', 'learn', 'expect']","['always', 'class', 'need', 'do']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['succeed', 'academically', 'socially', 'keep', 'simple']",['nan']
['nan'],['nan'],['nan'],['nan'],"['see', 'campus']","['well', 'graduate']",['nan']
['nan'],['nan'],['nan'],['nan'],"['absolutely', 'love', 'involve', 'flash', 'guide', 'help', 'make', 'connection', 'people', 'fun', 'learn', 'need', 'learn']","['believe', 'work', 'toward', 'academic', 'success', 'find', 'purpose', 'world', 'expect']",['nan']
['nan'],"['academic', 'advisor', 'amaze', 'help', 'pick', 'class', 'step', 'step', 'also', 'share', 'useful', 'information', 'college', 'general']",['nan'],['nan'],"['favorite', 'part', 'opportunity', 'engage', 'discussion', 'current', 'kent', 'state', 'student', 'feel', 'like', 'discussion', 'helpful', 'effective']","['feel', 'expect', 'well', 'class', 'well', 'active', 'community']","['love', 'every', 'second', 'destination', 'kent', 'state']"
['really'],['nan'],['nan'],['really'],['everything'],"['get', 'involve', 'go', 'class']",['nan']
['nan'],['nan'],['nan'],['nan'],"['enjoy', 'go', 'downtown', 'night']","['go', 'class']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['academic', 'excellence', 'confidence', 'excel']",['nan']
"['timer', 'break', 'test', 'know', 'long', 'leave', 'really', 'stressful']",['nan'],['nan'],['nan'],"['flash', 'guide', 'cool']","['achieve', 'goal']",['name']
['nan'],['nan'],"['entire', 'first', 'day', 'many', 'back', 'back', 'lecture', 'structure', 'activity', 'make', 'difficult', 'stay', 'alert', 'concentrate', 'presentation', 'break', 'would', 'beneficial', 'could', 'properly', 'understand', 'learn', 'kent', 'state']",['nan'],"['may', 'favorite', 'part', 'would', 'lecture', 'give', 'lecture', 'fill', 'seriousness', 'also', 'excitement', 'easy', 'enjoy', 'stay', 'concentrate', 'presentation']","['kent', 'state', 'student', 'make', 'goal', 'make', 'realistic', 'goal', 'fulfill', 'accomplish', 'also', 'take', 'advantage', 'people', 'resource', 'around', 'good']","['activity', 'family', 'member', 'guest', 'allow', 'student', 'easy', 'time', 'get', 'know', 'student', 'parent', 'every', 'time', 'finally', 'meet', 'someone', 'think', 'could', 'get', 'along', 'parent', 'would', 'want', 'since', 'make', 'difficult', 'make', 'many', 'friend', 'end', 'really', 'get', 'know']"
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['respect', 'good', 'grade', 'make']",['nan']
['nan'],['nan'],['nan'],['nan'],"['key', 'success', 'college', 'story', 'nice', 'get', 'hear', 'truth', 'current', 'student', 'perspective']","['school', 'find', 'make', 'happy']",['nan']
['nan'],['nan'],['nan'],['nan'],"['enjoy', 'meet', 'advisor', 'schedule', 'class', 'first', 'real', 'chance', 'get', 'question', 'answer', 'option', 'college', 'education', 'nice', 'advisor', 'actually', 'college']","['take', 'advantage', 'opportunity', 'give', 'enjoy']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['success', 'personal', 'goal']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['whole', 'experience', 'understand', 'place']","['believe', 'person', 'expect', 'hold', 'hand', 'life']",['nan']
"['awareness', 'friend', 'know']",['nan'],['nan'],"['broad', 'tour']","['residence', 'game', 'room', 'everyone', 'mingle']","['involve', 'productive', 'th', 'college']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people', 'meet']","['one', 'everyone', 'else', 'uphold', 'go', 'expectation', 'already', 'hold']",['nan']
"['exam', 'keep', 'kick', 'test']",['nice'],['fun'],['nope'],['nope'],"['mature', 'focus', 'ready', 'learn']",['fun']
['nan'],['nan'],['nan'],['nan'],['nan'],['involve'],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people', 'go', 'class']",['nan']
,,,,,,
"['find', 'get', 'find', 'right', 'log', 'information', 'log', 'match', 'kent', 'state', 'log', 'bite', 'annoy', 'keep', 'reject', 'figure', 'right', 'log']",['nan'],['nan'],['nan'],"['favorite', 'experience', 'bite', 'cliche', 'really', 'enjoy', 'dance', 'get', 'know', 'fellow', 'incoming', 'freshman', 'flash', 'guide', 'make', 'many', 'new', 'friend', 'believe', 'long', 'time']","['well', 'get', 'involve', 'find', 'purpose']","['best', 'negative', 'comment', 'session', 'go', 'long', 'schedule', 'time', 'get', 'hard', 'run', 'exactly', 'clock', 'people', 'use', 'include', 'want', 'get', 'session', 'every', 'piece', 'information', 'deem', 'important', 'miss', 'bathroom']"
[],['nan'],['nan'],[],"['like', 'hear', 'story', 'experience', 'kent', 'state', 'learn', 'story']","['ask', 'help', 'need', 'stay', 'trouble']","['welcome', 'nice', 'easy', 'connect', 'genuine']"
['nan'],['nan'],['nan'],['nan'],"['schedule', 'class']","['class', 'stay', 'track', 'involve', 'outside', 'activity']",['nan']
['nan'],"['optimistic', 'plan', 'next', 'four', 'year', 'thing', 'know', 'capable', 'shoot']",['nan'],"['include', 'navigation', 'campus', 'know', 'everything', 'important', 'tour', 'show', 'class', 'residence', 'hall', 'would', 'helpful']","['story', 'happy']","['graduate', 'time', 'get', 'best', 'education', 'possibly', 'get', 'involve', 'create', 'connection']",['nan']
"['hard', 'figure', 'foreign', 'language', 'assessment', 'site']",[],[],[],"['play', 'really', 'fun']","['get', 'involve', 'go', 'class', 'get', 'good', 'grade']",[]
['nan'],['nan'],['nan'],['nan'],"['flash', 'guide', 'welcome', 'sweet', 'really', 'make', 'entire', 'awesome', 'program']","['pride', 'school', 'high', 'academic', 'stand', 'get', 'involve']",['nan']
['nan'],"['wait', 'hour', 'advise', 'appointment', 'another', 'hour', 'actually', 'advisor', 'another', 'minute', 'schedule', 'class', 'way', 'long', 'complicate']",['nan'],['nan'],['nan'],"['hard', 'work']",['nan']
,,,,,,
,,,,,,
['nan'],['nan'],['nan'],['nan'],['nan'],"['come', 'class', 'pride', 'school', 'feel', 'home', 'get', 'involve', 'activity', 'make', 'last', 'connection', 'peer']",['nan']
['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people', 'hear', 'current', 'student', 'story']","['get', 'involve', 'show', 'pride', 'go', 'class']",['nan']
"['experience', 'good', 'system', 'effective']",['nan'],['nan'],['good'],['nan'],"['use', 'resource', 'disposal']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],['success'],['nan']
['nan'],"['academic', 'advisor', 'meet', 'extremely', 'helpful', 'answer', 'question', 'give', 'advice', 'finish', 'college', 'degree']",['nan'],"['tour', 'campus']","['favorite', 'part', 'video', 'art', 'wish', 'explore', 'art']","['kent', 'state', 'student', 'expect', 'involve', 'activity', 'event', 'around', 'campus', 'help', 'reach', 'academic', 'success', 'help', 'reach', 'positive', 'state', 'mine', 'feel', 'home']","['staff', 'excellent']"
['nan'],['nan'],['nan'],"['might', 'helpful', 'session', 'student', 'inquire', 'detail', 'elective', 'core', 'class', 'incorporate', 'balance', 'throughout', 'four', 'year']","['enjoy', 'able', 'meet', 'interact', 'people', 'spend', 'next', 'four', 'year', 'many', 'u', 'meet', 'school', 'keep', 'steady', 'communication', 'thus', 'far', 'able', 'put', 'name', 'face', 'already', 'bond', 'make', 'choose', 'kent', 'much', 'special']","['expect', 'student', 'represent', 'core', 'value', 'school', 'culture', 'belief', 'diversity', 'stay', 'true', 'individual', 'throughout', 'continue', 'education', 'beyond', 'student', 'expect', 'perform', 'best', 'ability', 'classroom', 'responsible', 'seek', 'aid', 'necessary']",['nan']
"['make', 'obvious', 'find']","['quick', 'easy']",['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'friend']","['well', 'stay', 'top', 'work', 'around', 'good', 'student']",['nan']
['nan'],['helpful'],['nan'],['thing'],"['around', 'interact', 'classmate']","['well', 'school', 'fun']",['nan']
['nan'],['nan'],['nan'],['nan'],"['free', 'time', 'end', 'st', 'day', 'story']","['go', 'class']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['experience', 'downtown', 'kent', 'hear', 'talk', 'memory', 'advice', 'time']","['always', 'best', 'good', 'around', 'stay', 'involve', 'much', 'take', 'advantage', 'opportunity', 'kent', 'state', 'offer']",['nan']
,,,,,,
"['take', 'seriously', 'otherwise', 'could', 'totally', 'mess', 'graduation', 'time', 'ultimately', 'end', 'waste', 'time', 'money']",['nan'],['nan'],['nan'],"['make', 'every', 'moment', 'enjoyable', 'whether', 'listen', 'speech', 'eat', 'even', 'activity', 'much', 'fun']","['enjoy', 'time']",['nan']
['nan'],['nan'],['nan'],"['prepare', 'first', 'week', 'class', 'feel', 'socially', 'prepare', 'academically']","['like', 'mock', 'lecture', 'example', 'expect', 'real', 'class']","['way', 'present', 'appear', 'student', 'get', 'involve', 'make', 'friend', 'perhaps', 'little', 'emphasis', 'place', 'succeed', 'class', 'way', 'get', 'help', 'class', 'like', 'tutor', 'si', 'talk', 'would', 'like', 'hear', 'bite', 'grade', 'matter']",['nan']
['nan'],['helpful'],['nan'],['nan'],['nan'],"['reach', 'goal']",['nan']
['nan'],['nan'],['nan'],"['book', 'financial', 'aid', 'loan']","['meet', 'new', 'friend']",['success'],['nan']
"['study', 'study', 'study', 'graduate', 'take', 'placement', 'test', 'forget', 'lot', 'information', 'study', 'help']",['prepare'],['nan'],"['dorm', 'situation', 'handle', 'come']","['choose', 'class']","['best', 'fun']",['nan']
"['take', 'test', 'serious', 'retake']",['nan'],['nan'],"['navigate', 'campus', 'find', 'resource']","['favorite', 'part', 'experience', 'meet', 'new', 'friend', 'reach', 'student', 'school', 'go', 'day', 'start', 'group', 'message', 'really', 'help', 'new', 'friend', 'felt', 'comfortable', 'know', 'know', 'people', 'would', 'recommend', 'future', 'kent', 'student', 'ease', 'nervousness', 'friend', 'might', 'become', 'best', 'friend', 'next', 'four', 'year', 'forever']","['believe', 'expect', 'use', 'resource', 'like', 'tutor', 'college', 'free', 'retake', 'class', 'go', 'cost', 'money', 'except', 'take', 'class', 'seriously']","['felt', 'like', 'first', 'day', 'pack', 'full', 'information', 'student', 'bore']"
['none'],"['satisfy', 'compassionate', 'helpful', 'academic', 'advisor', 'make', 'feel', 'much', 'good', 'college', 'life']",['nan'],[],"['advise', 'appointment']","['go', 'class']",['none']
['nan'],['nan'],['nan'],"['navigate', 'campus']",[],"['best', 'academically', 'personally']","['put', 'long', 'program', 'back', 'back', 'right', 'lunch', 'begin', 'doze', 'felt', 'bad', 'pay', 'good', 'attention']"
,,,,,,
,,,,,,
"['allow', 'option', 'take', 'paper', 'version', 'student', 'focus', 'well', 'look', 'screen']","['speak', 'advisor', 'guess', 'train', 'although', 'understand', 'everyone', 'need', 'learn', 'would', 'like', 'talk', 'someone', 'bite', 'knowledge', 'question']",['nan'],"['use', 'find', 'book', 'need']","['resource', 'fair']","['stay', 'involve', 'track']",['nan']
"['would', 'helpful', 'involve', 'schedule', 'time', 'think', 'lot', 'student', 'need', 'time', 'learn', 'college', 'class', 'work', 'kind', 'class', 'need', 'earn', 'expect', 'amount', 'credit']","['everything', 'explain', 'detail', 'would', 'nice', 'would', 'helpful', 'hear', 'information', 'kind', 'class', 'take', 'first', 'year', 'order']","['talk', 'someone', 'meet', 'new', 'people', 'interest', 'similar', 'thing']","['maybe', 'detail', 'everyone', 'specific', 'major', 'would', 'nice', 'hear', 'dance', 'department', 'come', 'semester', 'even', 'like', 'next', 'four', 'year']","['favorite', 'part', 'meet', 'new', 'people', 'meet', 'two', 'girl', 'share', 'similar', 'interest', 'go', 'downtown', 'see', 'different', 'activity', 'food', 'vendor', 'kent', 'offer']","['strong', 'grade', 'stay', 'trouble', 'experience', 'college', 'life', 'get', 'involve', 'meet', 'new', 'people', 'important']",['nan']
"['know', 'mine', 'connect', 'never', 'look', 'cross', 'cause', 'little', 'confusion', 'even', 'though', 'do']","['carl', 'great', 'feel', 'like', 'great', 'hand', 'super', 'excite', 'support', 'need']","['thing', 'concern', 'weekend', 'th', 'clue', 'surprise', 'still', 'confuse', 'time']","['definitely', 'build', 'location', 'know', 'main', 'stuff', 'actually', 'find', 'class', 'nervous']","['definitely', 'advise', 'schedule', 'everything', 'build', 'actually', 'get', 'schedule']","['enjoy', 'time', 'student', 'successful']",['nan']
['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'friend']",['best'],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['best', 'work', 'hard', 'succeed', 'ask', 'help', 'need']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['best', 'part', 'time', 'end', 'night', 'hangout', 'new', 'freshman', 'current', 'felt', 'good', 'way', 'make', 'new', 'friend', 'experience', 'college', 'night', 'favorite', 'flash', 'guide', 'give', 'advice', 'insight', 'personally', 'help', 'make', 'amaze', 'thank', 'tremendously', 'advice', 'give']","['go', 'great', 'thing']",['nan']
"['make', 'foreign', 'language', 'section', 'easy', 'find', 'add', 'link', 'maybe']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
